,type,lung,mask
3111,train,dataset\dataset\lungs\3111.png,dataset\dataset\masks\3111.png
3113,train,dataset\lungs\0147.png,dataset\masks\0147.png
3114,train,dataset\dataset\lungs\3114.png,dataset\dataset\masks\3114.png
3115,train,dataset\dataset\lungs\3115.png,dataset\dataset\masks\3115.png
3116,train,dataset\dataset\lungs\3116.png,dataset\dataset\masks\3116.png
3117,train,dataset\dataset\lungs\3117.png,dataset\dataset\masks\3117.png
3118,train,dataset\dataset\lungs\3118.png,dataset\dataset\masks\3118.png
3119,train,dataset\dataset\lungs\3119.png,dataset\dataset\masks\3119.png
3120,train,dataset\dataset\lungs\3120.png,dataset\dataset\masks\3120.png
3121,train,dataset\dataset\lungs\3121.png,dataset\dataset\masks\3121.png
3122,train,dataset\dataset\lungs\3122.png,dataset\dataset\masks\3122.png
3124,train,dataset\lungs\0007.png,dataset\masks\0007.png
3125,train,dataset\dataset\lungs\3125.png,dataset\dataset\masks\3125.png
3126,train,dataset\dataset\lungs\3126.png,dataset\dataset\masks\3126.png
3127,train,dataset\dataset\lungs\3127.png,dataset\dataset\masks\3127.png
3128,train,dataset\dataset\lungs\3128.png,dataset\dataset\masks\3128.png
3129,train,dataset\dataset\lungs\3129.png,dataset\dataset\masks\3129.png
3130,train,dataset\dataset\lungs\3130.png,dataset\dataset\masks\3130.png
3131,train,dataset\dataset\lungs\3131.png,dataset\dataset\masks\3131.png
3132,train,dataset\dataset\lungs\3132.png,dataset\dataset\masks\3132.png
3133,train,dataset\dataset\lungs\3133.png,dataset\dataset\masks\3133.png
3135,train,dataset\lungs\0655.png,dataset\masks\0655.png
3136,train,dataset\dataset\lungs\3136.png,dataset\dataset\masks\3136.png
3137,train,dataset\dataset\lungs\3137.png,dataset\dataset\masks\3137.png
3138,train,dataset\dataset\lungs\3138.png,dataset\dataset\masks\3138.png
3139,train,dataset\dataset\lungs\3139.png,dataset\dataset\masks\3139.png
3140,train,dataset\dataset\lungs\3140.png,dataset\dataset\masks\3140.png
3141,train,dataset\dataset\lungs\3141.png,dataset\dataset\masks\3141.png
3142,train,dataset\dataset\lungs\3142.png,dataset\dataset\masks\3142.png
3143,train,dataset\dataset\lungs\3143.png,dataset\dataset\masks\3143.png
3144,train,dataset\dataset\lungs\3144.png,dataset\dataset\masks\3144.png
3146,train,dataset\lungs\0117.png,dataset\masks\0117.png
3147,train,dataset\dataset\lungs\3147.png,dataset\dataset\masks\3147.png
3148,train,dataset\dataset\lungs\3148.png,dataset\dataset\masks\3148.png
3149,train,dataset\dataset\lungs\3149.png,dataset\dataset\masks\3149.png
3150,train,dataset\dataset\lungs\3150.png,dataset\dataset\masks\3150.png
3151,train,dataset\dataset\lungs\3151.png,dataset\dataset\masks\3151.png
3152,train,dataset\dataset\lungs\3152.png,dataset\dataset\masks\3152.png
3153,train,dataset\dataset\lungs\3153.png,dataset\dataset\masks\3153.png
3154,train,dataset\dataset\lungs\3154.png,dataset\dataset\masks\3154.png
3155,train,dataset\dataset\lungs\3155.png,dataset\dataset\masks\3155.png
3157,train,dataset\lungs\0550.png,dataset\masks\0550.png
3158,train,dataset\dataset\lungs\3158.png,dataset\dataset\masks\3158.png
3159,train,dataset\dataset\lungs\3159.png,dataset\dataset\masks\3159.png
3160,train,dataset\dataset\lungs\3160.png,dataset\dataset\masks\3160.png
3161,train,dataset\dataset\lungs\3161.png,dataset\dataset\masks\3161.png
3162,train,dataset\dataset\lungs\3162.png,dataset\dataset\masks\3162.png
3163,train,dataset\dataset\lungs\3163.png,dataset\dataset\masks\3163.png
3164,train,dataset\dataset\lungs\3164.png,dataset\dataset\masks\3164.png
3165,train,dataset\dataset\lungs\3165.png,dataset\dataset\masks\3165.png
3166,train,dataset\dataset\lungs\3166.png,dataset\dataset\masks\3166.png
3168,train,dataset\lungs\0614.png,dataset\masks\0614.png
3169,train,dataset\dataset\lungs\3169.png,dataset\dataset\masks\3169.png
3170,train,dataset\dataset\lungs\3170.png,dataset\dataset\masks\3170.png
3171,train,dataset\dataset\lungs\3171.png,dataset\dataset\masks\3171.png
3172,train,dataset\dataset\lungs\3172.png,dataset\dataset\masks\3172.png
3173,train,dataset\dataset\lungs\3173.png,dataset\dataset\masks\3173.png
3174,train,dataset\dataset\lungs\3174.png,dataset\dataset\masks\3174.png
3175,train,dataset\dataset\lungs\3175.png,dataset\dataset\masks\3175.png
3176,train,dataset\dataset\lungs\3176.png,dataset\dataset\masks\3176.png
3177,train,dataset\dataset\lungs\3177.png,dataset\dataset\masks\3177.png
3179,train,dataset\lungs\0376.png,dataset\masks\0376.png
3180,train,dataset\dataset\lungs\3180.png,dataset\dataset\masks\3180.png
3181,train,dataset\dataset\lungs\3181.png,dataset\dataset\masks\3181.png
3182,train,dataset\dataset\lungs\3182.png,dataset\dataset\masks\3182.png
3183,train,dataset\dataset\lungs\3183.png,dataset\dataset\masks\3183.png
3184,train,dataset\dataset\lungs\3184.png,dataset\dataset\masks\3184.png
3185,train,dataset\dataset\lungs\3185.png,dataset\dataset\masks\3185.png
3186,train,dataset\dataset\lungs\3186.png,dataset\dataset\masks\3186.png
3187,train,dataset\dataset\lungs\3187.png,dataset\dataset\masks\3187.png
3188,train,dataset\dataset\lungs\3188.png,dataset\dataset\masks\3188.png
3190,train,dataset\lungs\0321.png,dataset\masks\0321.png
3191,train,dataset\dataset\lungs\3191.png,dataset\dataset\masks\3191.png
3192,train,dataset\dataset\lungs\3192.png,dataset\dataset\masks\3192.png
3193,train,dataset\dataset\lungs\3193.png,dataset\dataset\masks\3193.png
3194,train,dataset\dataset\lungs\3194.png,dataset\dataset\masks\3194.png
3195,train,dataset\dataset\lungs\3195.png,dataset\dataset\masks\3195.png
3196,train,dataset\dataset\lungs\3196.png,dataset\dataset\masks\3196.png
3197,train,dataset\dataset\lungs\3197.png,dataset\dataset\masks\3197.png
3198,train,dataset\dataset\lungs\3198.png,dataset\dataset\masks\3198.png
3199,train,dataset\dataset\lungs\3199.png,dataset\dataset\masks\3199.png
3201,train,dataset\lungs\0193.png,dataset\masks\0193.png
3202,train,dataset\dataset\lungs\3202.png,dataset\dataset\masks\3202.png
3203,train,dataset\dataset\lungs\3203.png,dataset\dataset\masks\3203.png
3204,train,dataset\dataset\lungs\3204.png,dataset\dataset\masks\3204.png
3205,train,dataset\dataset\lungs\3205.png,dataset\dataset\masks\3205.png
3206,train,dataset\dataset\lungs\3206.png,dataset\dataset\masks\3206.png
3207,train,dataset\dataset\lungs\3207.png,dataset\dataset\masks\3207.png
3208,train,dataset\dataset\lungs\3208.png,dataset\dataset\masks\3208.png
3209,train,dataset\dataset\lungs\3209.png,dataset\dataset\masks\3209.png
3210,train,dataset\dataset\lungs\3210.png,dataset\dataset\masks\3210.png
3212,train,dataset\lungs\0170.png,dataset\masks\0170.png
3213,train,dataset\dataset\lungs\3213.png,dataset\dataset\masks\3213.png
3214,train,dataset\dataset\lungs\3214.png,dataset\dataset\masks\3214.png
3215,train,dataset\dataset\lungs\3215.png,dataset\dataset\masks\3215.png
3216,train,dataset\dataset\lungs\3216.png,dataset\dataset\masks\3216.png
3217,train,dataset\dataset\lungs\3217.png,dataset\dataset\masks\3217.png
3218,train,dataset\dataset\lungs\3218.png,dataset\dataset\masks\3218.png
3219,train,dataset\dataset\lungs\3219.png,dataset\dataset\masks\3219.png
3220,train,dataset\dataset\lungs\3220.png,dataset\dataset\masks\3220.png
3221,train,dataset\dataset\lungs\3221.png,dataset\dataset\masks\3221.png
3223,train,dataset\lungs\0464.png,dataset\masks\0464.png
3224,train,dataset\dataset\lungs\3224.png,dataset\dataset\masks\3224.png
3225,train,dataset\dataset\lungs\3225.png,dataset\dataset\masks\3225.png
3226,train,dataset\dataset\lungs\3226.png,dataset\dataset\masks\3226.png
3227,train,dataset\dataset\lungs\3227.png,dataset\dataset\masks\3227.png
3228,train,dataset\dataset\lungs\3228.png,dataset\dataset\masks\3228.png
3229,train,dataset\dataset\lungs\3229.png,dataset\dataset\masks\3229.png
3230,train,dataset\dataset\lungs\3230.png,dataset\dataset\masks\3230.png
3231,train,dataset\dataset\lungs\3231.png,dataset\dataset\masks\3231.png
3232,train,dataset\dataset\lungs\3232.png,dataset\dataset\masks\3232.png
3234,train,dataset\lungs\0358.png,dataset\masks\0358.png
3235,train,dataset\dataset\lungs\3235.png,dataset\dataset\masks\3235.png
3236,train,dataset\dataset\lungs\3236.png,dataset\dataset\masks\3236.png
3237,train,dataset\dataset\lungs\3237.png,dataset\dataset\masks\3237.png
3238,train,dataset\dataset\lungs\3238.png,dataset\dataset\masks\3238.png
3239,train,dataset\dataset\lungs\3239.png,dataset\dataset\masks\3239.png
3240,train,dataset\dataset\lungs\3240.png,dataset\dataset\masks\3240.png
3241,train,dataset\dataset\lungs\3241.png,dataset\dataset\masks\3241.png
3242,train,dataset\dataset\lungs\3242.png,dataset\dataset\masks\3242.png
3243,train,dataset\dataset\lungs\3243.png,dataset\dataset\masks\3243.png
3245,train,dataset\lungs\0700.png,dataset\masks\0700.png
3246,train,dataset\dataset\lungs\3246.png,dataset\dataset\masks\3246.png
3247,train,dataset\dataset\lungs\3247.png,dataset\dataset\masks\3247.png
3248,train,dataset\dataset\lungs\3248.png,dataset\dataset\masks\3248.png
3249,train,dataset\dataset\lungs\3249.png,dataset\dataset\masks\3249.png
3250,train,dataset\dataset\lungs\3250.png,dataset\dataset\masks\3250.png
3251,train,dataset\dataset\lungs\3251.png,dataset\dataset\masks\3251.png
3252,train,dataset\dataset\lungs\3252.png,dataset\dataset\masks\3252.png
3253,train,dataset\dataset\lungs\3253.png,dataset\dataset\masks\3253.png
3254,train,dataset\dataset\lungs\3254.png,dataset\dataset\masks\3254.png
3256,train,dataset\lungs\0647.png,dataset\masks\0647.png
3257,train,dataset\dataset\lungs\3257.png,dataset\dataset\masks\3257.png
3258,train,dataset\dataset\lungs\3258.png,dataset\dataset\masks\3258.png
3259,train,dataset\dataset\lungs\3259.png,dataset\dataset\masks\3259.png
3260,train,dataset\dataset\lungs\3260.png,dataset\dataset\masks\3260.png
3261,train,dataset\dataset\lungs\3261.png,dataset\dataset\masks\3261.png
3262,train,dataset\dataset\lungs\3262.png,dataset\dataset\masks\3262.png
3263,train,dataset\dataset\lungs\3263.png,dataset\dataset\masks\3263.png
3264,train,dataset\dataset\lungs\3264.png,dataset\dataset\masks\3264.png
3265,train,dataset\dataset\lungs\3265.png,dataset\dataset\masks\3265.png
3267,train,dataset\lungs\0530.png,dataset\masks\0530.png
3268,train,dataset\dataset\lungs\3268.png,dataset\dataset\masks\3268.png
3269,train,dataset\dataset\lungs\3269.png,dataset\dataset\masks\3269.png
3270,train,dataset\dataset\lungs\3270.png,dataset\dataset\masks\3270.png
3271,train,dataset\dataset\lungs\3271.png,dataset\dataset\masks\3271.png
3272,train,dataset\dataset\lungs\3272.png,dataset\dataset\masks\3272.png
3273,train,dataset\dataset\lungs\3273.png,dataset\dataset\masks\3273.png
3274,train,dataset\dataset\lungs\3274.png,dataset\dataset\masks\3274.png
3275,train,dataset\dataset\lungs\3275.png,dataset\dataset\masks\3275.png
3276,train,dataset\dataset\lungs\3276.png,dataset\dataset\masks\3276.png
3278,train,dataset\lungs\0312.png,dataset\masks\0312.png
3279,train,dataset\dataset\lungs\3279.png,dataset\dataset\masks\3279.png
3280,train,dataset\dataset\lungs\3280.png,dataset\dataset\masks\3280.png
3281,train,dataset\dataset\lungs\3281.png,dataset\dataset\masks\3281.png
3282,train,dataset\dataset\lungs\3282.png,dataset\dataset\masks\3282.png
3283,train,dataset\dataset\lungs\3283.png,dataset\dataset\masks\3283.png
3284,train,dataset\dataset\lungs\3284.png,dataset\dataset\masks\3284.png
3285,train,dataset\dataset\lungs\3285.png,dataset\dataset\masks\3285.png
3286,train,dataset\dataset\lungs\3286.png,dataset\dataset\masks\3286.png
3287,train,dataset\dataset\lungs\3287.png,dataset\dataset\masks\3287.png
3289,train,dataset\lungs\0250.png,dataset\masks\0250.png
3290,train,dataset\dataset\lungs\3290.png,dataset\dataset\masks\3290.png
3291,train,dataset\dataset\lungs\3291.png,dataset\dataset\masks\3291.png
3292,train,dataset\dataset\lungs\3292.png,dataset\dataset\masks\3292.png
3293,train,dataset\dataset\lungs\3293.png,dataset\dataset\masks\3293.png
3294,train,dataset\dataset\lungs\3294.png,dataset\dataset\masks\3294.png
3295,train,dataset\dataset\lungs\3295.png,dataset\dataset\masks\3295.png
3296,train,dataset\dataset\lungs\3296.png,dataset\dataset\masks\3296.png
3297,train,dataset\dataset\lungs\3297.png,dataset\dataset\masks\3297.png
3298,train,dataset\dataset\lungs\3298.png,dataset\dataset\masks\3298.png
3300,train,dataset\lungs\0354.png,dataset\masks\0354.png
3301,train,dataset\dataset\lungs\3301.png,dataset\dataset\masks\3301.png
3302,train,dataset\dataset\lungs\3302.png,dataset\dataset\masks\3302.png
3303,train,dataset\dataset\lungs\3303.png,dataset\dataset\masks\3303.png
3304,train,dataset\dataset\lungs\3304.png,dataset\dataset\masks\3304.png
3305,train,dataset\dataset\lungs\3305.png,dataset\dataset\masks\3305.png
3306,train,dataset\dataset\lungs\3306.png,dataset\dataset\masks\3306.png
3307,train,dataset\dataset\lungs\3307.png,dataset\dataset\masks\3307.png
3308,train,dataset\dataset\lungs\3308.png,dataset\dataset\masks\3308.png
3309,train,dataset\dataset\lungs\3309.png,dataset\dataset\masks\3309.png
3311,train,dataset\lungs\0428.png,dataset\masks\0428.png
3312,train,dataset\dataset\lungs\3312.png,dataset\dataset\masks\3312.png
3313,train,dataset\dataset\lungs\3313.png,dataset\dataset\masks\3313.png
3314,train,dataset\dataset\lungs\3314.png,dataset\dataset\masks\3314.png
3315,train,dataset\dataset\lungs\3315.png,dataset\dataset\masks\3315.png
3316,train,dataset\dataset\lungs\3316.png,dataset\dataset\masks\3316.png
3317,train,dataset\dataset\lungs\3317.png,dataset\dataset\masks\3317.png
3318,train,dataset\dataset\lungs\3318.png,dataset\dataset\masks\3318.png
3319,train,dataset\dataset\lungs\3319.png,dataset\dataset\masks\3319.png
3320,train,dataset\dataset\lungs\3320.png,dataset\dataset\masks\3320.png
3322,train,dataset\lungs\0478.png,dataset\masks\0478.png
3323,train,dataset\dataset\lungs\3323.png,dataset\dataset\masks\3323.png
3324,train,dataset\dataset\lungs\3324.png,dataset\dataset\masks\3324.png
3325,train,dataset\dataset\lungs\3325.png,dataset\dataset\masks\3325.png
3326,train,dataset\dataset\lungs\3326.png,dataset\dataset\masks\3326.png
3327,train,dataset\dataset\lungs\3327.png,dataset\dataset\masks\3327.png
3328,train,dataset\dataset\lungs\3328.png,dataset\dataset\masks\3328.png
3329,train,dataset\dataset\lungs\3329.png,dataset\dataset\masks\3329.png
3330,train,dataset\dataset\lungs\3330.png,dataset\dataset\masks\3330.png
3331,train,dataset\dataset\lungs\3331.png,dataset\dataset\masks\3331.png
3333,train,dataset\lungs\0451.png,dataset\masks\0451.png
3334,train,dataset\dataset\lungs\3334.png,dataset\dataset\masks\3334.png
3335,train,dataset\dataset\lungs\3335.png,dataset\dataset\masks\3335.png
3336,train,dataset\dataset\lungs\3336.png,dataset\dataset\masks\3336.png
3337,train,dataset\dataset\lungs\3337.png,dataset\dataset\masks\3337.png
3338,train,dataset\dataset\lungs\3338.png,dataset\dataset\masks\3338.png
3339,train,dataset\dataset\lungs\3339.png,dataset\dataset\masks\3339.png
3340,train,dataset\dataset\lungs\3340.png,dataset\dataset\masks\3340.png
3341,train,dataset\dataset\lungs\3341.png,dataset\dataset\masks\3341.png
3342,train,dataset\dataset\lungs\3342.png,dataset\dataset\masks\3342.png
3344,train,dataset\lungs\0341.png,dataset\masks\0341.png
3345,train,dataset\dataset\lungs\3345.png,dataset\dataset\masks\3345.png
3346,train,dataset\dataset\lungs\3346.png,dataset\dataset\masks\3346.png
3347,train,dataset\dataset\lungs\3347.png,dataset\dataset\masks\3347.png
3348,train,dataset\dataset\lungs\3348.png,dataset\dataset\masks\3348.png
3349,train,dataset\dataset\lungs\3349.png,dataset\dataset\masks\3349.png
3350,train,dataset\dataset\lungs\3350.png,dataset\dataset\masks\3350.png
3351,train,dataset\dataset\lungs\3351.png,dataset\dataset\masks\3351.png
3352,train,dataset\dataset\lungs\3352.png,dataset\dataset\masks\3352.png
3353,train,dataset\dataset\lungs\3353.png,dataset\dataset\masks\3353.png
3355,train,dataset\lungs\0085.png,dataset\masks\0085.png
3356,train,dataset\dataset\lungs\3356.png,dataset\dataset\masks\3356.png
3357,train,dataset\dataset\lungs\3357.png,dataset\dataset\masks\3357.png
3358,train,dataset\dataset\lungs\3358.png,dataset\dataset\masks\3358.png
3359,train,dataset\dataset\lungs\3359.png,dataset\dataset\masks\3359.png
3360,train,dataset\dataset\lungs\3360.png,dataset\dataset\masks\3360.png
3361,train,dataset\dataset\lungs\3361.png,dataset\dataset\masks\3361.png
3362,train,dataset\dataset\lungs\3362.png,dataset\dataset\masks\3362.png
3363,train,dataset\dataset\lungs\3363.png,dataset\dataset\masks\3363.png
3364,train,dataset\dataset\lungs\3364.png,dataset\dataset\masks\3364.png
3366,train,dataset\lungs\0593.png,dataset\masks\0593.png
3367,train,dataset\dataset\lungs\3367.png,dataset\dataset\masks\3367.png
3368,train,dataset\dataset\lungs\3368.png,dataset\dataset\masks\3368.png
3369,train,dataset\dataset\lungs\3369.png,dataset\dataset\masks\3369.png
3370,train,dataset\dataset\lungs\3370.png,dataset\dataset\masks\3370.png
3371,train,dataset\dataset\lungs\3371.png,dataset\dataset\masks\3371.png
3372,train,dataset\dataset\lungs\3372.png,dataset\dataset\masks\3372.png
3373,train,dataset\dataset\lungs\3373.png,dataset\dataset\masks\3373.png
3374,train,dataset\dataset\lungs\3374.png,dataset\dataset\masks\3374.png
3375,train,dataset\dataset\lungs\3375.png,dataset\dataset\masks\3375.png
3377,train,dataset\lungs\0529.png,dataset\masks\0529.png
3378,train,dataset\dataset\lungs\3378.png,dataset\dataset\masks\3378.png
3379,train,dataset\dataset\lungs\3379.png,dataset\dataset\masks\3379.png
3380,train,dataset\dataset\lungs\3380.png,dataset\dataset\masks\3380.png
3381,train,dataset\dataset\lungs\3381.png,dataset\dataset\masks\3381.png
3382,train,dataset\dataset\lungs\3382.png,dataset\dataset\masks\3382.png
3383,train,dataset\dataset\lungs\3383.png,dataset\dataset\masks\3383.png
3384,train,dataset\dataset\lungs\3384.png,dataset\dataset\masks\3384.png
3385,train,dataset\dataset\lungs\3385.png,dataset\dataset\masks\3385.png
3386,train,dataset\dataset\lungs\3386.png,dataset\dataset\masks\3386.png
3388,train,dataset\lungs\0377.png,dataset\masks\0377.png
3389,train,dataset\dataset\lungs\3389.png,dataset\dataset\masks\3389.png
3390,train,dataset\dataset\lungs\3390.png,dataset\dataset\masks\3390.png
3391,train,dataset\dataset\lungs\3391.png,dataset\dataset\masks\3391.png
3392,train,dataset\dataset\lungs\3392.png,dataset\dataset\masks\3392.png
3393,train,dataset\dataset\lungs\3393.png,dataset\dataset\masks\3393.png
3394,train,dataset\dataset\lungs\3394.png,dataset\dataset\masks\3394.png
3395,train,dataset\dataset\lungs\3395.png,dataset\dataset\masks\3395.png
3396,train,dataset\dataset\lungs\3396.png,dataset\dataset\masks\3396.png
3397,train,dataset\dataset\lungs\3397.png,dataset\dataset\masks\3397.png
3399,train,dataset\lungs\0388.png,dataset\masks\0388.png
3400,train,dataset\dataset\lungs\3400.png,dataset\dataset\masks\3400.png
3401,train,dataset\dataset\lungs\3401.png,dataset\dataset\masks\3401.png
3402,train,dataset\dataset\lungs\3402.png,dataset\dataset\masks\3402.png
3403,train,dataset\dataset\lungs\3403.png,dataset\dataset\masks\3403.png
3404,train,dataset\dataset\lungs\3404.png,dataset\dataset\masks\3404.png
3405,train,dataset\dataset\lungs\3405.png,dataset\dataset\masks\3405.png
3406,train,dataset\dataset\lungs\3406.png,dataset\dataset\masks\3406.png
3407,train,dataset\dataset\lungs\3407.png,dataset\dataset\masks\3407.png
3408,train,dataset\dataset\lungs\3408.png,dataset\dataset\masks\3408.png
3410,train,dataset\lungs\0040.png,dataset\masks\0040.png
3411,train,dataset\dataset\lungs\3411.png,dataset\dataset\masks\3411.png
3412,train,dataset\dataset\lungs\3412.png,dataset\dataset\masks\3412.png
3413,train,dataset\dataset\lungs\3413.png,dataset\dataset\masks\3413.png
3414,train,dataset\dataset\lungs\3414.png,dataset\dataset\masks\3414.png
3415,train,dataset\dataset\lungs\3415.png,dataset\dataset\masks\3415.png
3416,train,dataset\dataset\lungs\3416.png,dataset\dataset\masks\3416.png
3417,train,dataset\dataset\lungs\3417.png,dataset\dataset\masks\3417.png
3418,train,dataset\dataset\lungs\3418.png,dataset\dataset\masks\3418.png
3419,train,dataset\dataset\lungs\3419.png,dataset\dataset\masks\3419.png
3421,train,dataset\lungs\0203.png,dataset\masks\0203.png
3422,train,dataset\dataset\lungs\3422.png,dataset\dataset\masks\3422.png
3423,train,dataset\dataset\lungs\3423.png,dataset\dataset\masks\3423.png
3424,train,dataset\dataset\lungs\3424.png,dataset\dataset\masks\3424.png
3425,train,dataset\dataset\lungs\3425.png,dataset\dataset\masks\3425.png
3426,train,dataset\dataset\lungs\3426.png,dataset\dataset\masks\3426.png
3427,train,dataset\dataset\lungs\3427.png,dataset\dataset\masks\3427.png
3428,train,dataset\dataset\lungs\3428.png,dataset\dataset\masks\3428.png
3429,train,dataset\dataset\lungs\3429.png,dataset\dataset\masks\3429.png
3430,train,dataset\dataset\lungs\3430.png,dataset\dataset\masks\3430.png
3432,train,dataset\lungs\0611.png,dataset\masks\0611.png
3433,train,dataset\dataset\lungs\3433.png,dataset\dataset\masks\3433.png
3434,train,dataset\dataset\lungs\3434.png,dataset\dataset\masks\3434.png
3435,train,dataset\dataset\lungs\3435.png,dataset\dataset\masks\3435.png
3436,train,dataset\dataset\lungs\3436.png,dataset\dataset\masks\3436.png
3437,train,dataset\dataset\lungs\3437.png,dataset\dataset\masks\3437.png
3438,train,dataset\dataset\lungs\3438.png,dataset\dataset\masks\3438.png
3439,train,dataset\dataset\lungs\3439.png,dataset\dataset\masks\3439.png
3440,train,dataset\dataset\lungs\3440.png,dataset\dataset\masks\3440.png
3441,train,dataset\dataset\lungs\3441.png,dataset\dataset\masks\3441.png
3443,train,dataset\lungs\0225.png,dataset\masks\0225.png
3444,train,dataset\dataset\lungs\3444.png,dataset\dataset\masks\3444.png
3445,train,dataset\dataset\lungs\3445.png,dataset\dataset\masks\3445.png
3446,train,dataset\dataset\lungs\3446.png,dataset\dataset\masks\3446.png
3447,train,dataset\dataset\lungs\3447.png,dataset\dataset\masks\3447.png
3448,train,dataset\dataset\lungs\3448.png,dataset\dataset\masks\3448.png
3449,train,dataset\dataset\lungs\3449.png,dataset\dataset\masks\3449.png
3450,train,dataset\dataset\lungs\3450.png,dataset\dataset\masks\3450.png
3451,train,dataset\dataset\lungs\3451.png,dataset\dataset\masks\3451.png
3452,train,dataset\dataset\lungs\3452.png,dataset\dataset\masks\3452.png
3454,train,dataset\lungs\0398.png,dataset\masks\0398.png
3455,train,dataset\dataset\lungs\3455.png,dataset\dataset\masks\3455.png
3456,train,dataset\dataset\lungs\3456.png,dataset\dataset\masks\3456.png
3457,train,dataset\dataset\lungs\3457.png,dataset\dataset\masks\3457.png
3458,train,dataset\dataset\lungs\3458.png,dataset\dataset\masks\3458.png
3459,train,dataset\dataset\lungs\3459.png,dataset\dataset\masks\3459.png
3460,train,dataset\dataset\lungs\3460.png,dataset\dataset\masks\3460.png
3461,train,dataset\dataset\lungs\3461.png,dataset\dataset\masks\3461.png
3462,train,dataset\dataset\lungs\3462.png,dataset\dataset\masks\3462.png
3463,train,dataset\dataset\lungs\3463.png,dataset\dataset\masks\3463.png
3465,train,dataset\lungs\0146.png,dataset\masks\0146.png
3466,train,dataset\dataset\lungs\3466.png,dataset\dataset\masks\3466.png
3467,train,dataset\dataset\lungs\3467.png,dataset\dataset\masks\3467.png
3468,train,dataset\dataset\lungs\3468.png,dataset\dataset\masks\3468.png
3469,train,dataset\dataset\lungs\3469.png,dataset\dataset\masks\3469.png
3470,train,dataset\dataset\lungs\3470.png,dataset\dataset\masks\3470.png
3471,train,dataset\dataset\lungs\3471.png,dataset\dataset\masks\3471.png
3472,train,dataset\dataset\lungs\3472.png,dataset\dataset\masks\3472.png
3473,train,dataset\dataset\lungs\3473.png,dataset\dataset\masks\3473.png
3474,train,dataset\dataset\lungs\3474.png,dataset\dataset\masks\3474.png
3476,train,dataset\lungs\0617.png,dataset\masks\0617.png
3477,train,dataset\dataset\lungs\3477.png,dataset\dataset\masks\3477.png
3478,train,dataset\dataset\lungs\3478.png,dataset\dataset\masks\3478.png
3479,train,dataset\dataset\lungs\3479.png,dataset\dataset\masks\3479.png
3480,train,dataset\dataset\lungs\3480.png,dataset\dataset\masks\3480.png
3481,train,dataset\dataset\lungs\3481.png,dataset\dataset\masks\3481.png
3482,train,dataset\dataset\lungs\3482.png,dataset\dataset\masks\3482.png
3483,train,dataset\dataset\lungs\3483.png,dataset\dataset\masks\3483.png
3484,train,dataset\dataset\lungs\3484.png,dataset\dataset\masks\3484.png
3485,train,dataset\dataset\lungs\3485.png,dataset\dataset\masks\3485.png
3487,train,dataset\lungs\0563.png,dataset\masks\0563.png
3488,train,dataset\dataset\lungs\3488.png,dataset\dataset\masks\3488.png
3489,train,dataset\dataset\lungs\3489.png,dataset\dataset\masks\3489.png
3490,train,dataset\dataset\lungs\3490.png,dataset\dataset\masks\3490.png
3491,train,dataset\dataset\lungs\3491.png,dataset\dataset\masks\3491.png
3492,train,dataset\dataset\lungs\3492.png,dataset\dataset\masks\3492.png
3493,train,dataset\dataset\lungs\3493.png,dataset\dataset\masks\3493.png
3494,train,dataset\dataset\lungs\3494.png,dataset\dataset\masks\3494.png
3495,train,dataset\dataset\lungs\3495.png,dataset\dataset\masks\3495.png
3496,train,dataset\dataset\lungs\3496.png,dataset\dataset\masks\3496.png
3498,train,dataset\lungs\0585.png,dataset\masks\0585.png
3499,train,dataset\dataset\lungs\3499.png,dataset\dataset\masks\3499.png
3500,train,dataset\dataset\lungs\3500.png,dataset\dataset\masks\3500.png
3501,train,dataset\dataset\lungs\3501.png,dataset\dataset\masks\3501.png
3502,train,dataset\dataset\lungs\3502.png,dataset\dataset\masks\3502.png
3503,train,dataset\dataset\lungs\3503.png,dataset\dataset\masks\3503.png
3504,train,dataset\dataset\lungs\3504.png,dataset\dataset\masks\3504.png
3505,train,dataset\dataset\lungs\3505.png,dataset\dataset\masks\3505.png
3506,train,dataset\dataset\lungs\3506.png,dataset\dataset\masks\3506.png
3507,train,dataset\dataset\lungs\3507.png,dataset\dataset\masks\3507.png
3509,train,dataset\lungs\0627.png,dataset\masks\0627.png
3510,train,dataset\dataset\lungs\3510.png,dataset\dataset\masks\3510.png
3511,train,dataset\dataset\lungs\3511.png,dataset\dataset\masks\3511.png
3512,train,dataset\dataset\lungs\3512.png,dataset\dataset\masks\3512.png
3513,train,dataset\dataset\lungs\3513.png,dataset\dataset\masks\3513.png
3514,train,dataset\dataset\lungs\3514.png,dataset\dataset\masks\3514.png
3515,train,dataset\dataset\lungs\3515.png,dataset\dataset\masks\3515.png
3516,train,dataset\dataset\lungs\3516.png,dataset\dataset\masks\3516.png
3517,train,dataset\dataset\lungs\3517.png,dataset\dataset\masks\3517.png
3518,train,dataset\dataset\lungs\3518.png,dataset\dataset\masks\3518.png
3520,train,dataset\lungs\0625.png,dataset\masks\0625.png
3521,train,dataset\dataset\lungs\3521.png,dataset\dataset\masks\3521.png
3522,train,dataset\dataset\lungs\3522.png,dataset\dataset\masks\3522.png
3523,train,dataset\dataset\lungs\3523.png,dataset\dataset\masks\3523.png
3524,train,dataset\dataset\lungs\3524.png,dataset\dataset\masks\3524.png
